AQW00061705         541C   497C   552C   522C   519C   479C   473C   474C   480C   507C   508C   538C
USW00003996           3R     6R    23R    86R   252R   418R   510R   491R   308R   112R    16R     6R
USW00003997           0R -7777R     3R    20R    96R   275R   414R   383R   153R    26R     1R     0R
USW00003998           0R -7777R     4R    29R   111R   309R   469R   445R   206R    39R     2R -7777R
USW00003999           2R     8R    30R   109R   287R   460R   567R   573R   375R   152R    22R     4R
USW00004109           0R     0R     0R -7777R    12R    55R   225R   225R    36R -7777R     0R     0R
USW00004110           0R     0R     0R -7777R    13R    68R   202R   182R    44R     1R -7777R     0R
USW00004111           0R     0R     0R     0R     1R    13R    82R    61R     5R -7777R     0R     0R
USW00004112           0R     0R     0R     0R     0R -7777R     3R -7777R     0R     0R     0R     0R
USW00004113           0R     0R     0R     1R    27R    87R   273R   227R    47R     1R -7777R     0R
USW00004114           0R     0R     0R -7777R     2R    22R   132R    86R     6R     0R     0R     0R
USW00004125           0Q     0Q     0Q     1Q    16Q    75Q   240Q   222Q    68Q     3Q     0Q     0Q
USW00004126           0Q     0Q     0Q -7777Q     3Q    26Q   162Q   145Q    27Q -7777Q     0Q     0Q
USW00004127           0Q     0Q     0Q -7777Q     6Q    44Q   177Q   161Q    37Q     1Q     0Q     0Q
USW00004128           0Q     0Q     0Q -7777Q     1Q    17Q   129Q    86Q    16Q -7777Q     0Q     0Q
USW00004130           0Q     0Q     0Q     0Q     0Q -7777Q    15Q    12Q     1Q -7777Q     0Q     0Q
USW00004131           0Q     0Q     0Q     0Q -7777Q     1Q    12Q     5Q -7777Q     0Q     0Q     0Q
USW00004134           0Q     0Q     0Q -7777Q    38Q   219Q   455Q   386Q   122Q     7Q     0Q     0Q
USW00004136           0Q     0Q     0Q     0Q -7777Q     7Q    45Q    47Q     5Q -7777Q     0Q     0Q
USW00004137           0Q     0Q     0Q     0Q     0Q     1Q    15Q    10Q     1Q     0Q     0Q     0Q
USW00004138           0Q     0Q     0Q     0Q     4Q    45Q   239Q   207Q    35Q -7777Q     0Q     0Q
USW00004139           0Q     0Q     0Q     0Q     0Q     1Q    22Q    35Q    10Q -7777Q     0Q     0Q
USW00004140           0Q     0Q     0Q     0Q     0Q -7777Q    12Q    15Q     6Q     2Q     0Q     0Q
USW00004141           0Q     0Q     0Q     0Q     0Q     0Q     0Q     0Q     0Q     0Q     0Q     0Q
USW00004201           0R     0R     0R -7777R     6R    23R    91R    98R    32R     1R     0R     0R
USW00004222           0Q -7777Q     1Q    13Q    73Q   220Q   426Q   376Q   237Q    57Q     2Q     0Q
USW00004223           0Q     0Q     0Q     0Q     2Q    11Q    45Q    48Q    10Q -7777Q     0Q     0Q
USW00004236           0Q     0Q     0Q     0Q     1Q    10Q    70Q    72Q    18Q -7777Q     0Q     0Q
USW00004237           0Q     0Q     0Q     0Q     1Q     4Q    25Q    18Q     4Q -7777Q     0Q     0Q
USW00004724           0Q     0Q     0Q     2Q    18Q   106Q   197Q   162Q    45Q     5Q -7777Q     0Q
USW00004725           0S     0S -7777S     4S    19S    74S   138S   113S    31S     2S -7777S     0S
USW00004726           0R     0R -7777R     5R    19R    73R   145R   118R    25R     3R -7777R -7777R
USW00004751           0S     0S -7777S     2R     8R    40R    74R    53R    15R     1R     0R     0R
USW00004780           0R     0R -7777R     5R    26R   122R   231R   192R    48R     4R -7777R     0R
USW00004781           0S     0S -7777S     2S    22S   140S   276S   246S    91S    10S -7777S     0S
USW00004787           0R     0R -7777R     4R    19R    71S   131S   106S    29S     2S -7777S     0R
USW00004789           0R     0R -7777R     5R    24R   123R   216R   183R    45R     3R     0R     0R
USW00004803           0R     0R     0R     1R    11R    53R   105R    71R    18R     2R     0R     0R
USW00004804           0R     0R     1R    10R    52R   181R   281R   237R    87R    12R -7777R -7777R
USW00004808           0R     0R -7777R     3R    38R   155R   215R   173R    63R     8R -7777R     0R
USW00004826           0R     0R -7777R     1R    21R    91R   182R   131R    31R     5R     0R     0R
USW00004836           0R     0R     0R -7777R     4R    24R    54R    42R    10R -7777R     0R     0R
USW00004838           0R -7777R -7777R     4R    38R   154R   269R   232R    81R    11R -7777R     0R
USW00004839           0R -7777R -7777R     4R    38R   146R   235R   195R    64R    11R -7777R     0R
USW00004840           0R -7777R -7777R     2R    29R   127R   209R   164R    55R     7R     0R     0R
USW00004841           0R     0R -7777R -7777R    10R    79R   156R   115R    31R     3R     0R     0R
USW00004842           0R -7777R -7777R     6R    39R   141R   213R   152R    47R     7R -7777R     0R
USW00004843           0R     0R -7777R     4R    25R   103R   181R   132R    40R     5R -7777R     0R
USW00004845           0R -7777R -7777R     2R    22R   109R   200R   154R    50R     8R -7777R     0R
USW00004846           0R     0R -7777R     5R    42R   164R   240R   185R    66R    11R -7777R     0R
USW00004847           0R     0R -7777R     3R    31R   146R   234R   179R    55R     7R     0R     0R
USW00004848           0R     0R     1R     7R    44R   184R   283R   221R    79R    12R -7777R -7777R
USW00004849           0R -7777R     1R     7R    40R   167R   232R   176R    59R     9R -7777R     0R
USW00004850           0R     0R     1R     9R    52R   184R   268R   214R    84R    14R -7777R -7777R
USW00004851           0R     0R -7777R     6R    39R   147R   241R   191R    65R    10R -7777R     0R
USW00004852           0R     0R     1R     6R    36R   143R   234R   202R    66R     9R -7777R -7777R
USW00004853           0R -7777R     2R     9R    55R   190R   309R   263R   104R    17R -7777R -7777R
USW00004854           0R     0R     0R     1R    13R    54R    91R    61R    16R     5R     0R     0R
USW00004855           0R     0R -7777R     6R    42R   158R   239R   185R    60R     9R -7777R     0R
USW00004857           0R     0R -7777R     5R    29R   120R   167R   131R    42R     6R -7777R     0R
USW00004858           0R     0R -7777R     5R    44R   157R   224R   182R    61R     6R -7777R     0R
USW00004990           0Q     0Q     0Q     1Q    28Q   118Q   219Q   165Q    44Q     4Q     0Q     0Q
USW00004994           0Q     0Q     0Q -7777Q     7Q    38Q    80Q    67Q    17Q -7777Q     0Q     0Q
USW00012812          61R    75R   141R   213R   386R   498R   558R   556R   508R   365R   170R    92R
USW00012815          45C    59C   118C   199C   380C   490C   549C   553C   483S   331C   147C    70C
USW00012816          12S    20S    54S   121S   303S   439S   502S   493S   396S   210S    66S    22S
USW00012818          26R    33R    72R   123R   302R   450R   485R   497R   427R   258R    89R    48R
USW00012819          28R    49R    98R   195R   382R   501R   552R   555R   481R   319R   120R    53R
USW00012832           4S     5S    27S    94S   292S   456S   530S   518S   420C   203S    56S    16S
USW00012833          11R    16R    47R   108R   297R   447R   508R   504R   404R   201R    59R    18R
USW00012834          29C    36C    77C   145C   314C   447C   515C   511C   436C   286C   116C    51C
USW00012835          83R   102R   176R   269R   436R   525R   564R   569R   522R   402R   215R   121R
USW00012836         165R   183R   262R   344R   476R   549R   606R   604R   546R   473R   325R   217R
USW00012838          44S    54S    99S   178S   351S   462S   516S   522S   466S   345S   158S    76S
USW00012839         151S   171S   247S   324S   463S   532S   592S   595S   537S   460S   300S   203S
USW00012841          44R    59R   118R   218R   399R   508R   578R   577R   499R   342R   150R    72R
USW00012842          50S    63S   126S   221S   417S   516S   558S   564S   501S   350S   164S    80S
USW00012843          61R    78R   129R   190R   348R   456R   518R   518R   469R   361R   183R    93R
USW00012844         108S   127S   193S   267S   414S   490S   549S   558S   502S   413S   245S   155S
USW00012849         170R   186R   254R   337R   471R   543R   598R   607R   546R   482R   319R   216R
USW00012850         170S   191S   273S   350S   479S   553S   606S   609S   558S   484S   334S   231S
USW00012854          42R    54R   108R   208R   380R   495R   570R   559R   478R   330R   139R    61R
USW00012859         162R   169R   232R   301R   422R   499R   577R   580R   523R   448R   302R   210R
USW00012871          52R    52R   100R   193R   354R   472R   539R   535R   492R   355R   156R    74R
USW00012873          55R    67R   126R   232R   397R   517R   564R   570R   505R   370R   173R    84R
USW00012876          46R    65R   135R   225R   395R   510R   555R   563R   493R   338R   155R    72R
USW00012882         125R   147R   227R   298R   434R   522R   572R   580R   531R   448R   268R   176R
USW00012883          57R    76R   148R   241R   422R   523R   569R   578R   507R   354R   165R    74R
USW00012884          12R    11R    35R   133R   343R   474R   556R   555R   458R   255R    81R    27R
USW00012885         123R   139R   211R   294R   422R   505R   566R   573R   511R   431R   263R   174R
USW00012888          91R   128R   171R   236R   377R   477R   529R   542R   483R   406R   225R   145R
USW00012894          68R    92R   138R   250R   389R   484R   564R   560R   508R   395R   199R   106R
USW00012895          57R    70R   118R   198R   343R   457R   508R   518R   469R   361R   173R   102R
USW00012896         181R   201R   283R   371R   507R   594R   620R   629R   568R   485R   325R   228R
USW00012897          86Q   105Q   176Q   253Q   408Q   507Q   559Q   563Q   520Q   418Q   224Q   120Q
USW00012904          49R    76R   170R   319R   487R   568R   623R   632R   505R   347R   158R    58R
USW00012912          14S    24S    74S   177S   370S   508S   586S   600S   445S   245S    80S    27S
USW00012916          16S    21S    63S   157S   362S   495S   566S   566S   443S   220S    69S    27S
USW00012917          11S    15S    55S   146S   339S   484S   556R   561R   419S   205S    64S    22S
USW00012918          16S    22C    69C   173C   374C   510C   583C   594C   452C   243C    79C    29C
USW00012919          59S    82S   174S   302S   476S   567S   618S   629S   504S   354S   180S    80S
USW00012921           7S    19S    65S   168S   370S   523S   608S   631S   443S   221S    62S    14S
USW00012923           5R    12R    53R   173R   392R   535R   604R   620R   499R   299R    97R    19R
USW00012924          30C    46C   115C   237C   413C   522S   587C   611C   482C   308C   124C    49C
USW00012925          28R    44R   116R   256R   453R   601R   670R   675R   525R   326R   121R    51R
USW00012926          22S    35S   105S   234S   419S   544S   600S   623S   500S   344S   143S    47S
USW00012928          33S    48S   127S   257S   433S   550S   612S   631S   488S   305S   124S    52S
USW00012930          16R    21R    73R   182R   395R   523R   595R   595R   461R   243R    83R    29R
USW00012932          27R    59R   126R   248R   451R   571R   637R   651R   477R   300R   111R    43R
USW00012935          12S    17S    62S   177S   374S   516S   589S   598S   450S   254S    89S    27S
USW00012944           3R     2R    27R   129R   346R   498R   575R   583R   447R   259R    78R    13R
USW00012947          17R    38R   115R   260R   464R   606R   656R   680R   470R   280R    82R    18R
USW00012957          49R    73R   159R   299R   476R   576R   629R   621R   520R   364R   185R    69R
USW00012958          11S    15S    49S   127S   313S   453S   519S   525S   401S   189S    53S    22S
USW00012959          62S    97S   218S   354S   524S   628S   674S   694S   548R   383R   187S    83S
USW00012960          15S    23S    71S   172S   371S   520S   601S   609S   443S   229S    74S    27S
USW00012962           5S    14S    59S   157S   357S   496S   569S   587S   413S   210S    51S    10S
USW00012968           3Q     8Q    34Q   127Q   331Q   475Q   547Q   555Q   429Q   215Q    51Q    15Q
USW00012970           7R    23R    72R   184R   387R   528R   598R   645R   446R   228R    57R    12R
USW00012971           6R    19R    59R   165R   343R   499R   578R   597R   422R   211R    54R    12R
USW00012972          18R    34R    97R   235R   431R   562R   620R   640R   519R   335R   132R    39R
USW00012975           9R    21R    60R   155R   345R   498R   556R   567R   419R   223R    65R    22R
USW00012976          13R    23R    56R   149R   327R   484R   538R   545R   406R   209R    65R    27R
USW00012977          12Q    19Q    58Q   152Q   353Q   498Q   577Q   569Q   416Q   207Q    56Q    23Q
USW00012987          36Q    70Q   157Q   304Q   467Q   574Q   631Q   643Q   511Q   328Q   135Q    61Q
USW00013301           0Q     0Q     1Q     6Q    48Q   198Q   341Q   298Q   101Q    19Q -7777Q     0Q
USW00013701           0R     0S     1R    13R    61R   230S   378R   320S   135R    20R     1R -7777R
USW00013702       -7777R -7777R     6R    36R   111R   302R   437R   386R   216R    48R     6R     1R
USW00013713           2R     2R    14R    62R   186R   377R   482R   431R   253R    69R    14R     3R
USW00013714           1R     2R    17R    71R   193R   399R   511R   460R   269R    73R    10R     3R
USW00013721       -7777R -7777S     2S    20S    89S   271S   408S   360S   180S    33S     3S -7777S
USW00013722       -7777S     1S    11S    49S   148S   347S   466S   419S   227S    52S     8S     2S
USW00013723       -7777C -7777C     5C    33C   121C   307C   419C   377C   185C    33C     3C     1C
USW00013724           0S     0S -7777S     4S    33S   171S   330S   309S   152S    21S -7777S -7777S
USW00013728           0R -7777R     3R    31R   110R   297R   412R   374R   176R    33R     3R -7777R
USW00013729           0S -7777S -7777S     3S    20S    92S   166S   145S    45S     4S -7777S     0S
USW00013733           0S -7777S     2S    16S    64S   214S   318S   284S   118S    15S     1S -7777S
USW00013734           0S -7777S     1S     8S    48S   183S   303S   249S    93S    10S -7777S -7777S
USW00013735           0C     0C -7777C     8C    50C   192C   331C   278C   113C    16C     1C -7777C
USW00013736       -7777S -7777S     2S    14S    51S   162S   255S   225S    92S    12S     1S -7777S
USW00013737       -7777S     1S     6S    37S   122S   315S   454S   400S   230S    55S     8S     1S
USW00013739           0C -7777C     1C    12C    78C   258C   408C   360C   161C    22C     1C     0C
USW00013740       -7777C -7777C     6C    36C   119C   315C   443C   388C   197C    39C     5C     1C
USW00013741       -7777S -7777S     5S    24S    87S   246S   361S   324S   139S    21S     1S -7777S
USW00013743       -7777C -7777S     2S    24S   108S   314S   457S   406S   202S    34S     2S -7777S
USW00013744           2C     4C    18C    72C   211C   397C   502C   464C   286C    86C    17C     4C
USW00013745       -7777R -7777R     4R    36R   158R   346R   477R   473R   349R   135R    25R     4R
USW00013748           2C     3C    16C    67C   193C   385C   501C   456C   294C    97C    23C     5C
USW00013750       -7777S     1S     8S    45R   144S   345S   487R   433S   258R    70R    11S     2S
USW00013752           0Q     0Q -7777Q     9Q    63Q   273Q   418Q   358Q   161Q    25Q -7777Q     0Q
USW00013754           1S     2S    11S    53S   170S   365S   473S   439S   289S    91S    21S     4S
USW00013762       -7777Q     1Q     1Q    28Q   120Q   296Q   446Q   384Q   213Q    53Q     5Q -7777Q
USW00013764       -7777R -7777R     2R    18R    74R   239R   367R   329R   142R    23R     2R -7777R
USW00013766       -7777S -7777S     5S    40S   147R   346R   474S   439S   279R    81S    12S     1R
USW00013769       -7777S     1S     6S    34S   112S   294S   435S   385S   215S    53S     9S     2S
USW00013773           0R -7777R     3R    23R    96S   285S   415R   369S   173S    27S     2R -7777R
USW00013776           1R     2R    10R    55R   182R   388R   500R   434R   249R    73R    13R     2R
USW00013777       -7777R -7777R    12R    49R   198R   444R   575R   511R   279R    69R     7R     1R
USW00013779           0R     0R     2R    13R    95R   283R   419R   382R   168R    33R     2R -7777R
USW00013781           0C     0C     1C    11C    67C   231C   367C   316C   134C    18C -7777C -7777C
USW00013782           1S     3S    19S    82S   253S   428S   535S   504S   358S   150S    36S     7S
USW00013786           1R     1R     5R    35R   122R   314R   426R   392R   226R    59R     7R     2R
USW00013802       -7777S -7777S     6S    37S   133S   327S   445S   393S   183S    40S     4S -7777S
USW00013809           0R -7777R     2R    24R   113R   290R   398R   356R   171R    32R     1R -7777R
USW00013810       -7777R -7777R     4R    30R   113R   305R   398R   389R   174R    29R     2R -7777R
USW00013833           6R     9R    33R    92R   275R   423R   522R   511R   356R   135R    28R    13R
USW00013837           1R     3R    22R    75R   256R   434R   530R   490R   320R   106R    19R     5R
USW00013838           2R     6R    25R    99R   278R   444R   528R   528R   406R   175R    36R     9R
USW00013839           4Q     6Q    21Q    90Q   292Q   444Q   524Q   499Q   348Q   135Q    29Q    10Q
USW00013841           0R     0R -7777R     8R    55R   185R   256R   224R    84R    12R -7777R -7777R
USW00013861           5R     8R    40R   104R   286R   460R   530R   518R   373R   156R    45R    13R
USW00013865           3S     4S    17S    59S   200S   380S   484S   473S   303S    90S    16S     6S
USW00013866       -7777S -7777S     5S    27S    78S   220S   324S   292S   127S    21S     2S     1S
USW00013867           0S -7777S     2S    19S    80S   235S   348S   312S   141S    19S     2S -7777S
USW00013869           4R     5R    29R   102R   300R   465R   541R   527R   383R   147R    30R     9R
USW00013870           5S    11S    38R   100R   276R   443R   529R   505R   363S   155S    40S    11S
USW00013871       -7777C     1C    12C    49C   178C   359C   465C   453C   266C    71C    11C     2C
USW00013872       -7777C -7777C     2C    16C    68C   202C   299C   273C   110C    14C     1C -7777C
USW00013873       -7777S     1S    10S    47S   182S   378S   484S   453S   260S    62S     9S     1S
USW00013874       -7777S     1S    12S    53S   184S   371S   471S   447R   266R    67R    10R     1S
USW00013876           1S     3S    18S    62S   198S   382S   499S   487S   300S    90S    15S     3S
USW00013877       -7777C -7777C     1C    10C    62C   206C   299C   274C   116C    12C     1C -7777C
USW00013878           3S     6S    31S   103S   299S   459S   553S   522S   395S   190S    54S    13S
USW00013880           2S     5S    27S    84S   244S   421S   529S   493S   333S   126S    33S     7S
USW00013881       -7777S -7777S     5S    32S   126S   311S   420S   383S   198S    38S     4S     1S
USW00013882       -7777S -7777S     7S    39S   150S   345S   463S   446S   239S    48S     4S     1S
USW00013883           1C     3C    18C    73C   226C   424C   532C   491C   299C    85C    15C     3C
USW00013884           4R     6R    28R    74R   236S   406S   487S   479R   339R   128R    30R    11R
USW00013886           0R -7777R     2R    35R   144R   340R   453R   423R   210R    34R     3R -7777R
USW00013889          11S    18S    54S   113S   288S   449S   536S   521S   396S   197S    61S    21S
USW00013891       -7777S -7777S     5S    32S   125S   305S   417S   397S   206S    36S     3S -7777S
USW00013893           1C     2C    17C    75C   226C   438C   549C   527C   316C    92C    13C     2C
USW00013894           7C     9C    39C   104C   286C   444C   522C   516C   377C   158C    41C    15C
USW00013895           2S     4S    23S    72S   238S   419S   521S   510S   341S   115S    23S     6S
USW00013896       -7777S     1S    12S    52S   179S   362S   477S   460S   259S    62S     7S     1S
USW00013897       -7777C -7777C     8C    37C   134C   324C   446C   425C   220C    46C     5C     1C
USW00013899           6C     8C    33C   101S   300S   465S   533S   521S   403S   180S    46S    13S
USW00013904           5R    11R    42R   130R   319R   481R   572R   580R   388R   175R    38R    10R
USW00013911           2R    10R    38R   116R   300R   499R   640R   652R   413R   157R    27R     4R
USW00013920           0R -7777R     3R    17R    86R   261R   431R   378R   146R    23R -7777R     0R
USW00013927           4R     8R    27R    86R   253R   429R   524R   517R   343R   118R    18R     9R
USW00013932           0R -7777R     3R    26R   122R   324R   488R   470R   227R    44R     3R -7777R
USW00013935           5R    10R    35R   101R   265R   438R   525R   524R   341R   118R    28R    10R
USW00013939           1Q     4Q    17Q    64Q   236Q   420Q   527Q   510Q   301Q    94Q    12Q     3Q
USW00013942           4S     7S    32S   104S   288S   466S   559S   547S   357S   120S    24S     7S
USW00013957           4C     6C    31C    94C   263C   444C   559C   561C   363C   124C    25C     7C
USW00013958           9S    18S    61S   164S   361S   516S   620S   645S   450S   221S    61S    13S
USW00013959           3S     6S    34S   111S   298S   488S   626S   629S   399S   162S    36S     5S
USW00013960           3C     8C    39C   117C   310C   516C   662C   669C   421C   162C    33S     5C
USW00013961           2R     5R    26R    92R   272R   476R   611R   621R   379R   133R    23R     3R
USW00013962           1S     4S    29S    99S   264S   435S   561S   552S   326S   118S    19S     1S
USW00013963           1S     1S    14S    56S   209S   425S   553S   542S   312S    81S    10S     2S
USW00013964       -7777C     1C    11C    54C   178C   385C   536C   530C   283C    68C     8C     1C
USW00013966           1S     2S    19S    70S   227S   436S   601S   589S   334S    97S    12S     1S
USW00013967       -7777S     1S    12S    53S   184S   390S   559S   538S   288S    67S     7S -7777S
USW00013968       -7777C     1C    11C    53C   169C   379C   555C   533C   264C    63C     8C -7777C
USW00013969       -7777S -7777S     7R    40R   142R   349R   516R   498R   246R    49S     4S -7777S
USW00013970          13S    18S    58S   142C   334S   484S   556S   556S   410S   179S    51S    22S
USW00013971       -7777R -7777R     6R    31R   102R   265R   414R   393R   168R    33R     4R -7777R
USW00013972           4R     8R    21R    79R   257R   433R   556R   564R   342R   129R    18R     6R
USW00013973           1R     5R    34R   109R   285R   445R   538R   533R   327R   111R    14R     1R
USW00013975           0S -7777S     5S    31S   122S   311S   471S   441S   211S    37S     3S     0S
USW00013976          14S    18S    63S   159S   360S   498S   572S   577S   427S   201S    63S    25S
USW00013977           1R     3R    19R    74R   223R   405R   535R   528R   306R    94R    16R     3R
USW00013978           2S     3C    21C    76C   228C   413S   505S   494S   305C    95C    17S     5C
USW00013980           0S -7777S     1S    17S   116S   338S   510S   470S   224S    34S     1S     0S
USW00013981           0C -7777C     4C    27C   102S   292S   449C   430C   193C    32C     3C -7777C
USW00013984           0C -7777C     1C    16C    72C   265C   436C   376C   160C    22C     1C     0C
USW00013985           0S -7777S     1S    18S    90S   278S   452S   407S   187S    29S     1S     0S
USW00013986           0R -7777R     2R    19R   115R   303R   471R   422R   191R    32R     1R     0R
USW00013987       -7777C     1C     9C    44C   126C   318C   473C   456C   215C    49C     7C -7777C
USW00013988           0S -7777S     5S    33S   120S   330S   497S   447S   200S    37S     2S -7777S
USW00013989           0R -7777R     2R    21R    96R   263R   434R   392R   165R    29R     1R     0R
USW00013991           0R -7777R     2R    20R    83S   256S   383S   335R   136R    22R     1R     0R
USW00013993           0R     0R     2R    19R    92R   267R   374R   323R   122R    21R     1R     0R
USW00013994           0S -7777S     7S    39S   128C   334C   467C   424S   202S    41S     4S -7777S
USW00013995       -7777S -7777S     3S    22S    90S   263S   410S   398S   173S    28S     2S -7777S
USW00013996           0C -7777C     3C    25C    98C   284C   432S   386S   165S    27S     2S     0C
USW00013997       -7777R -7777R     4R    22R    81R   235R   382R   353R   141R    25R     3R -7777R
USW00014605           0S     0S     0S -7777S     9S    64S   157S   127S    30S     1S     0S     0S
USW00014606           0R     0R     0R -7777R     6R    52R   132R   104R    23R     1R     0R     0R
USW00014607           0C     0C     0C -7777C     5C    34C    77C    53C    11C -7777C     0C     0C
USW00014609           0S     0S     0S -7777S     4S    35S    81S    58S    13S -7777S     0S     0S
USW00014610           0R     0R     0R -7777R     6R    49R   117R    79R    17R -7777R     0R     0R
USW00014611           0R     0R     0R -7777R     6R    51R   141R   116R    25R     1R     0R     0R
USW00014702           0R     0R -7777R     5R    25R   119R   250R   206R    54R     6R -7777R     0R
USW00014707           0R     0R     0R     1R     5R    73R   176R   174R    55R     4R -7777R     0R
USW00014710           0R     0R -7777R     4R    26R   120R   239R   197R    52R     4R -7777R     0R
USW00014711           0R     0R     1R     6R    58R   213R   338R   280R    97R     9R -7777R     0R
USW00014712           0R     0R -7777R     9R    51R   189R   303R   251R    84R     9R -7777R     0R
USW00014717           0R     0R -7777R     1R    17R    91R   165R   137R    41R     3R -7777R     0R
USW00014719           0R     0R     0R     1R     6R    82R   193R   175R    50R     5R -7777R     0R
USW00014732           0C     0C -7777C     8C    58C   231C   385C   351C   157C    23C     1C -7777C
USW00014733           0S     0S -7777S     3S    23S   103S   197S   161S    53S     4S -7777S -7777S
USW00014734           0S     0S     1S    11S    64S   239S   383S   336S   140S    17S     1S     0S
USW00014735           0S     0S -7777S     4S    26S   118S   218S   177S    51S     4S -7777S     0S
USW00014736           0S -7777S     1S     5S    27S   109S   185S   152S    47S     5S -7777S     0S
USW00014737           0S     0C -7777C     5S    40S   155S   265S   214S    71S     7S -7777S     0S
USW00014739           0C     0C -7777C     3C    27C   136C   266C   227C    81C     7C -7777C     0C
USW00014740           0C     0C -7777C     6C    33C   144C   269C   223C    74C     7C -7777C     0C
USW00014742           0S     0S -7777S     2S    17S    97S   187S   145S    41S     2S -7777S     0S
USW00014743           0C     0S -7777C     2C    18C    78C   147S   112C    34S     3C -7777C     0C
USW00014745           0C     0C -7777C     2C    16C    84C   172C   139C    37C     2C     0C     0C
USW00014747           0R     0R -7777R     3R    23R   108R   194R   157R    53R     8R -7777R     0R
USW00014748           0R     0R     0R     2R    14R    76R   142R   120R    27R     1R     0R     0R
USW00014750           0C     0C -7777C     1C    11C    69C   139C   107C    24C     1C     0C     0C
USW00014751           0R     0R     1R    11R    57R   198R   321R   272R    99R    11R -7777R -7777R
USW00014752           0R     0R -7777R     5R    35R   152R   285R   241R    80R     7R -7777R     0R
USW00014753           0S     0S -7777S     2S    22S   105S   222S   186S    60S     5S -7777S     0S
USW00014754           0R     0R     0R     2R     8R    50R   115R    86R    19R     1R -7777R     0R
USW00014755           0S     0S     0S     0S     0S     0S     0S     0S     0S     0S     0S     0S
USW00014756           0R     0R     0R -7777R -7777R    21R   124R   116R    33R     2R     0R     0R
USW00014757           0S     0S -7777S     5S    31S   127S   240S   201S    64S     4S -7777S     0S
USW00014758           0Q     0Q -7777Q     2Q    17Q   135Q   280Q   248Q    77Q     8Q -7777Q     0Q
USW00014761           0R     0R -7777R     2R    13R    59R   113R    90R    24R     1R -7777R     0R
USW00014762           0R -7777R -7777R    10R    43R   150R   245R   217R    71R     9R -7777R -7777R
USW00014763           0R     0R     0R     2R    11R    56R   108R    93R    19R     1R -7777R     0R
USW00014764           0C     0C     0C -7777C     7C    57C   144C   120C    30C     1C     0C     0C
USW00014765           0C     0C -7777C     2C    24C   132C   266C   232C    80C     8C -7777C     0C
USW00014768           0S     0S -7777S     4S    26S   106S   193S   155S    50S     5S -7777S     0S
USW00014770           0R     0R -7777R     7R    48R   182R   268R   205R    64R     7R -7777R     0R
USW00014771           0C     0C -7777C     4C    26C   113C   203C   167C    52C     4C -7777C     0C
USW00014775           0R     0R -7777R     6R    26R   102R   193R   173R    44R     4R -7777R     0R
USW00014777           0C     0C -7777C     6C    31C   117C   206C   164S    52C     4C -7777C     0C
USW00014778           0S     0S -7777S     5S    38S   146S   244S   201S    63S     5S -7777S     0S
USW00014787           0R     0R     0R     1R     8R    84R   205R   184R    59R     5R -7777R     0R
USW00014790       -7777R     0R -7777R     1R    30R   151R   293R   241R    81R    10R -7777R     0R
USW00014792           0R     0R -7777R     8R    49R   190R   330R   279R    99R    10R -7777R     0R
USW00014793           0R -7777R     1R    14R    66R   218R   346R   291R   118R    17R     1R -7777R
USW00014794           0R     0R     0R     1R     6R    76R   188R   170R    49R     4R -7777R     0R
USW00014804           0S -7777S -7777S     3S    20S   117S   203S   156S    53S     5S -7777S     0S
USW00014806           0S     0S     2S    14S    81S   256S   330S   274S   124S    16S -7777S     0S
USW00014813           0R     0R -7777R     6R    33R   139R   238R   191R    55R     7R -7777R -7777R
USW00014814           0S     0C -7777S     1S     7S    56S   130S   105S    29S     2S -7777S     0S
USW00014815           0C     0C -7777C     7C    31C   126C   197C   157C    55S     5C -7777C     0S
USW00014817           0S     0S     0S     3S    14S    73S   124S    86S    26S     3S -7777S     0S
USW00014819           0C -7777C     1C    12C    61C   210C   338C   288C   119C    16C -7777C     0C
USW00014820           0S -7777S     1S    10S    48S   168S   265S   223S    89S    12S     1S -7777S
USW00014821           0S -7777S     1S    14S    69S   216S   317S   280S   121S    16S     1S -7777S
USW00014822           0S -7777S -7777S     6C    44C   168C   279C   231C    87C     8C -7777C     0C
USW00014824           0R     0R     0R     0R     1R    23R    75R    68R    13R -7777R     0R     0R
USW00014825           0C     0C     1C     9C    52C   178C   264C   212C    88C    11C -7777C -7777C
USW00014826           0S -7777S -7777S     4S    28S   112S   187S   146S    49S     5S -7777S     0S
USW00014827           0C     0C -7777C     8C    49C   182C   267C   211C    83C     9C -7777C     0C
USW00014828           0C     0C -7777C     3C    21C    90C   161C   119C    32S     3S -7777S     0C
USW00014829           0R     0R -7777R     6R    43R   153R   220R   168R    62R    10R -7777R     0R
USW00014833           0C -7777C -7777C     6C    31C   126C   202C   164C    57C     6S -7777C     0C
USW00014835           0S -7777S     1S    12S    64S   217S   297S   261S   113S    17S     1S     0S
USW00014836           0C -7777C     1C     6C    34C   132C   213C   171C    61C     7C -7777C     0C
USW00014837           0C -7777C -7777C     4C    26C   120C   206C   157C    51C     4C -7777C     0C
USW00014838           0S     0S -7777S     1S     8S    40S   110S   102S    33S     2S     0S     0S
USW00014839           0S -7777S -7777S     5S    25S   120S   222S   193S    69S     7S -7777S     0S
USW00014840           0C -7777C -7777C     4C    25C   105C   202C   171C    54C     5C -7777C     0C
USW00014841           0C     0C -7777C     2C     9C    44C    86C    60C    17C     2C     0C     0C
USW00014842           0S -7777S     1S    13S    67S   222S   328S   276S   117S    15S -7777S     0S
